,train_loss,val_loss
0,8.901412249542773e-06,8.820200581103563e-06
1,3.4865119052119555e-06,7.974498672410846e-06
2,5.9656111942604184e-06,6.8347088992595675e-06
3,5.480660640168935e-06,6.17803196888417e-06
4,2.491368665359914e-06,5.993681051768363e-06
5,6.344380946247838e-06,5.741376695223153e-06
6,5.653748430195264e-06,5.658356323838234e-06
7,8.134986727964133e-07,5.649684686213732e-06
8,2.3546031827572735e-06,5.6263375980779525e-06
9,2.918577106902376e-06,5.604986846446991e-06
10,1.908320102375001e-06,5.594264678657055e-06
11,2.636770576937124e-06,5.580988358706236e-06
12,4.391737125115469e-06,5.556210400536656e-06
13,6.085959827178158e-06,5.523045971058309e-06
14,7.191236619837582e-07,5.5183307453989985e-06
15,7.2691670502536e-07,5.513009456917643e-06
16,2.8545735031366348e-06,5.491427108645439e-06
17,1.8734625389333814e-06,5.477890204638243e-06
18,3.937363225850277e-06,5.452855918556452e-06
19,2.2092807514127345e-06,5.444861049763858e-06
20,4.817179704550654e-06,5.411785128526389e-06
21,7.778354012407363e-07,5.405517709441483e-06
22,5.131468190811574e-06,5.3767838049679995e-06
23,3.3951670350506903e-06,5.3518961882218715e-06
24,4.939028810476884e-06,5.320509886369109e-06
25,4.79291629511863e-06,5.2880188589915635e-06
26,1.9620104960631577e-06,5.274401046335697e-06
27,3.5969583108089866e-06,5.2555999532341956e-06
28,3.7543460994493216e-06,5.221765572205186e-06
29,2.164891507709399e-07,5.220236661843955e-06
30,1.757647906197235e-06,5.206237914972007e-06
31,1.467269647400826e-07,5.2111344318836926e-06
32,4.696916314424016e-06,5.168792670592666e-06
33,5.3018175001489e-06,5.12899877037853e-06
34,4.743975645396858e-06,5.096293645910919e-06
35,1.9461418758146465e-06,5.073954919353128e-06
36,9.170569712296128e-07,5.0654621375724674e-06
37,2.97029105364345e-06,5.047199227847159e-06
38,5.961040314286947e-07,5.0382875464856625e-06
39,1.4870953757781535e-06,5.02441315446049e-06
40,4.47614072530996e-06,4.987851409241557e-06
41,3.046144770924002e-06,4.95836129412055e-06
42,2.0702124817762523e-06,4.9402209417894485e-06
43,4.153172601945698e-07,4.935391552280635e-06
44,4.835630767047405e-06,4.890461082104593e-06
45,3.219255355652422e-06,4.863702522125095e-06
46,3.948150517535396e-06,4.820607267320156e-06
47,2.6277475501410663e-06,4.79471588274464e-06
48,2.6651327847503124e-06,4.767292200122028e-06
49,3.3652597619220613e-06,4.730436890386045e-06
50,4.387064780457877e-06,4.685531291179359e-06
51,2.892244740505703e-06,4.657105393707752e-06
52,2.019790731719695e-06,4.639233730267733e-06
53,3.6162839364260433e-06,4.602408309001475e-06
54,4.680551080382429e-06,4.547082288190722e-06
55,8.525649073999375e-07,4.537629710976034e-06
56,1.7660263692960142e-06,4.523778099101037e-06
57,4.960625323583372e-06,4.465640911366791e-06
58,2.991266286699101e-06,4.436942890752107e-06
59,4.7606542240828276e-07,4.431607841979712e-06
60,1.6718659782782197e-07,4.4301899056881665e-06
61,3.341841459623538e-06,4.39458972774446e-06
62,2.3140696715563535e-06,4.370572953484952e-06
63,1.3053981016855686e-06,4.357655246276408e-06
64,6.354073295369744e-07,4.351755396928639e-06
65,6.30273949354887e-08,4.351363151799887e-06
66,9.156571479979903e-07,4.341847447212785e-06
67,4.542395296157338e-06,4.293667217716575e-06
68,2.669824545737356e-06,4.259402442257852e-06
69,2.1970408328343183e-06,4.233874352648854e-06
70,4.710846212692559e-06,4.183621946722269e-06
71,1.1461783293634652e-06,4.169652292039245e-06
72,2.5181705062277615e-06,4.141561570577324e-06
73,2.4680899851955474e-06,4.110870659351349e-06
74,8.977654116461053e-07,4.102524898480624e-06
75,3.354085236787796e-06,4.07124592224136e-06
76,2.2340829850872977e-06,4.045394384302199e-06
77,2.510654511861503e-06,4.01872429298237e-06
78,3.713030811632052e-06,3.986198098864406e-06
79,3.996681527933106e-06,3.934034740086645e-06
80,3.462799481349066e-06,3.897468235809356e-06
81,3.0171875859377907e-06,3.86298963567242e-06
82,3.2406005775555967e-06,3.825863550882786e-06
83,2.6118443190352993e-06,3.800673894584179e-06
84,2.971861152909696e-06,3.7703116820193826e-06
85,2.549500181921758e-06,3.7336517171934246e-06
86,2.9639028740348293e-06,3.697735310997814e-06
87,6.942688865819946e-07,3.6924105929210783e-06
88,1.4537655771709979e-06,3.6740088160149752e-06
89,2.7339111774927004e-06,3.6472733574919402e-06
90,3.5709503741236405e-06,3.609601324424148e-06
91,3.052363422466442e-06,3.5825379262678324e-06
92,3.6025096283992752e-06,3.5455304384231568e-06
93,3.0173515842761842e-06,3.5181290935724975e-06
94,2.2896913310978563e-06,3.49000675836578e-06
95,2.2256615315563978e-06,3.4684938960708676e-06
96,1.5227992786094546e-06,3.453762694261968e-06
97,3.276997822104022e-06,3.4224816295318304e-06
98,2.2534058627206833e-06,3.4025131119415164e-06
99,1.5393867011880502e-06,3.3921033726073803e-06
100,2.5210109329782425e-06,3.3652209257707e-06
101,1.7691508750431239e-06,3.3501161565072834e-06
102,5.582382204011083e-08,3.3497415040619673e-06
103,2.329937185277231e-06,3.330633814912289e-06
104,2.9238677589455617e-06,3.3070278260856865e-06
105,1.7962572630494833e-07,3.3034723973833022e-06
106,8.999647595919669e-07,3.2949169306084515e-06
107,2.7181237272452563e-06,3.272336150985211e-06
108,3.946734243072569e-07,3.267224505543709e-06
109,1.4433552382979543e-06,3.253794477786869e-06
110,1.1351183470105753e-06,3.2440607226453722e-06
111,3.2817853160668162e-06,3.215775431599468e-06
112,2.7307508391095326e-06,3.195145376957953e-06
113,5.631221371004358e-07,3.1900043645873666e-06
114,6.130843417486176e-07,3.1848969869315622e-06
115,8.859416033374145e-07,3.1765360035933553e-06
116,2.1319578448310495e-06,3.160971074830741e-06
117,1.0947204910917207e-06,3.148260391317308e-06
118,3.1856364500708877e-06,3.1222827453166244e-06
119,3.200768641545437e-06,3.094018476549536e-06
120,2.536485193413682e-06,3.076580665074289e-06
121,8.586590888444335e-07,3.07057885453105e-06
122,1.171440621255897e-06,3.0606969585642217e-06
123,2.487064711167477e-06,3.0424255155958235e-06
124,2.7581387863028793e-06,3.015649262815714e-06
125,4.747311305254698e-07,3.0116845737211407e-06
126,2.6497302431380375e-06,2.9924599453806875e-06
127,1.392054979223758e-06,2.97952369088307e-06
128,3.095167526043952e-07,2.9781126859597862e-06
129,7.533332449384034e-08,2.978448572102934e-06
130,9.41647170111537e-07,2.9794116015546023e-06
131,3.0278414802160114e-06,2.9511768184602262e-06
132,6.875453336397186e-07,2.9484433261677623e-06
133,8.457297191489488e-07,2.9423451982438566e-06
134,2.2107465198496356e-06,2.923882263712585e-06
135,8.326278271852061e-07,2.918048643041402e-06
136,3.0993486405350266e-06,2.895285391714424e-06
137,2.9314052226254717e-06,2.8735424438491463e-06
138,2.0330743852537124e-06,2.8544724360108377e-06
139,2.7904404717264696e-06,2.8324990184046327e-06
140,7.406059111235663e-07,2.8240670217201113e-06
141,2.8811856993706895e-06,2.800971365068108e-06
142,2.457379872794263e-06,2.7889160299673676e-06
143,6.576260837027803e-07,2.7777124266140164e-06
144,1.4493698586011306e-06,2.7724073058925568e-06
145,1.658084134105593e-06,2.7587009174749256e-06
146,2.8464196261484178e-06,2.732940404675901e-06
147,1.482565706828609e-06,2.733833119273186e-06
148,1.495286533026956e-06,2.7131949109025298e-06
149,8.08556709671393e-07,2.7081645489670337e-06
150,9.85494569176808e-07,2.702668842393905e-06
151,2.4076671566581354e-06,2.686570903751999e-06
152,5.125338619109243e-08,2.6862550154328347e-06
153,4.830368974944577e-07,2.686672902200371e-06
154,1.5505976689746603e-06,2.6779968687333168e-06
155,1.7271279357373714e-07,2.676848149858415e-06
156,1.50981682469137e-06,2.66726219560951e-06
157,1.6773098614066839e-07,2.666147900745273e-06
158,1.618547341786325e-06,2.6590145588852464e-06
159,5.404484167229384e-08,2.6590382168069484e-06
160,1.4046935079386458e-06,2.651930125430226e-06
161,6.364162621321156e-07,2.647695941850543e-06
162,1.6729736200068145e-06,2.638824940659106e-06
163,2.7739778329851104e-06,2.6274501392617822e-06
164,1.3707121252082288e-07,2.6280598319135606e-06
165,2.2666170686716214e-06,2.6218957267701624e-06
166,1.3405722373863683e-06,2.6141071552410723e-06
167,2.379168724291958e-06,2.6076024654321373e-06
168,2.4211205227766188e-06,2.5931105902418494e-06
169,1.8263487610965966e-07,2.5927133415825666e-06
170,2.0563705929089337e-06,2.585156951099634e-06
171,7.862213283078745e-07,2.5804184284061195e-06
172,2.2190712904557587e-06,2.5740643125027418e-06
173,1.497170914663002e-06,2.56912883836776e-06
174,7.258587906835601e-07,2.564101181924343e-06
175,2.672724160947837e-06,2.5570834102109076e-06
176,1.9898861361434682e-06,2.5534601323306563e-06
177,1.447200336260721e-06,2.5493737659417093e-06
178,2.388199874549173e-06,2.5462178839370607e-06
179,5.836041097063572e-07,2.5386551418341696e-06
180,1.4851535391062498e-06,2.5376753252930938e-06
181,2.526911437162198e-06,2.5252459966577587e-06
182,7.143147027818486e-07,2.5290959794074296e-06
183,1.7618243058677763e-06,2.5244045117869972e-06
184,1.927686836570501e-06,2.511288656387478e-06
185,1.7639093287289143e-06,2.510599377565086e-06
186,2.4816922843456267e-07,2.510309093631804e-06
187,2.5526600051671266e-06,2.498560235835612e-06
188,1.8409326439723371e-07,2.50542713329196e-06
189,1.3511263235704974e-06,2.5006257975474e-06
190,2.242964960169047e-06,2.4934393027797342e-06
191,1.681858491501771e-06,2.4852570169605316e-06
192,4.935390793252737e-07,2.484992647077888e-06
193,2.0714566216338425e-06,2.477540846448392e-06
194,1.217388070654124e-06,2.474855233449489e-06
195,2.6367198675870894e-07,2.476067009847611e-06
196,2.6122256059898065e-06,2.4659501109272244e-06
197,2.5559666799381374e-06,2.4646400078199805e-06
198,1.6142174846027046e-06,2.457514947745949e-06
199,4.4552681967616083e-07,2.4558330909349023e-06
200,2.4236487096641212e-06,2.443203793372959e-06
201,7.84122601035051e-07,2.441281802020967e-06
202,1.6683909617131576e-06,2.441235985606909e-06
203,1.3883792329579592e-07,2.4403778999112545e-06
204,1.022274387651123e-06,2.4340450065210463e-06
205,1.1667519458569587e-07,2.433843053877354e-06
206,2.3650295624975114e-07,2.4328179541043938e-06
207,8.205544727388769e-07,2.4331506155431272e-06
208,2.274705609306693e-06,2.426030966453254e-06
209,2.3663668276276437e-06,2.4179899878799916e-06
210,6.677410780685022e-07,2.4162240722216667e-06
211,2.198159729014151e-06,2.4106003995984793e-06
212,1.1583744623931125e-06,2.405455478001386e-06
213,1.5244684086064808e-06,2.3994677886366843e-06
214,1.1004287071409636e-06,2.3985117417760195e-06
215,1.7345372610725463e-06,2.3943558242172e-06
216,1.5291467116912827e-06,2.3879649466834962e-06
217,2.2009486315073447e-06,2.3831040016375483e-06
218,1.7447148333303631e-07,2.3828858369961382e-06
219,1.0352380637777969e-06,2.379803096409887e-06
220,1.8097151553956792e-06,2.3792568896897135e-06
221,2.4817101832013576e-06,2.3707050923258064e-06
222,7.539246056694538e-07,2.367531224153936e-06
223,5.206713353982196e-07,2.3669344442896545e-06
224,2.3935658141272143e-06,2.360336948186159e-06
225,6.536644796142355e-07,2.3625205480493607e-06
226,2.2186526612495073e-06,2.3572225496172905e-06
227,7.10584543121513e-07,2.3545646062120797e-06
228,2.284719072340522e-06,2.350122118368745e-06
229,1.5359439747408032e-06,2.347763078287244e-06
230,1.2964350197580643e-06,2.346470144111663e-06
231,1.7442714772187174e-07,2.3447540635243057e-06
232,9.95094102108851e-08,2.3458024952560664e-06
233,2.1085751763894223e-06,2.3397202836349607e-06
234,7.59323398815468e-07,2.341609087307006e-06
235,2.4537252754089422e-06,2.3431910015642643e-06
236,1.0405684408033266e-06,2.3387093585915865e-06
237,1.8823880099807866e-06,2.333639811258763e-06
238,1.3010227054473943e-06,2.3406622069887816e-06
239,3.277769248234108e-07,2.3398696910589934e-06
240,2.9102879692800343e-07,2.341221529059112e-06
241,1.2778006985899992e-06,2.3367798840627072e-06
242,2.3486900643911213e-06,2.337773600593209e-06
243,1.4905703254044055e-06,2.332165145780891e-06
244,4.559803355368786e-07,2.3317522928118705e-06
245,1.645851418725215e-06,2.3344109300523997e-06
246,2.3136073484783993e-06,2.3263821215368805e-06
247,6.508198857773095e-07,2.3276967206038533e-06
248,1.42526667623315e-06,2.326440152246505e-06
249,1.6951295785838738e-06,2.3225034680217506e-06
250,2.95205072616227e-07,2.3217234550975263e-06
251,1.7877528863027692e-06,2.319948188960552e-06
252,1.255985361058265e-07,2.3186744819395243e-06
253,1.0166203018161467e-06,2.3170142597518863e-06
254,2.1170263705425898e-06,2.3149044369347395e-06
255,2.8361343953292816e-07,2.317309775389731e-06
256,1.5815273282350972e-06,2.3144153715111316e-06
257,1.9148937895079143e-06,2.3132010875269773e-06
258,1.3707656296901404e-06,2.311709076166153e-06
259,6.888624164275825e-08,2.3149375338107348e-06
260,1.4414168149232865e-06,2.3125163838267327e-06
261,1.683196471130941e-06,2.3089754581451416e-06
262,1.8062624195590616e-06,2.3092755652032793e-06
263,2.353298139933031e-06,2.308299874421209e-06
264,1.7244086880236863e-06,2.306221374310553e-06
265,9.525220195064321e-07,2.3047441407106816e-06
266,1.5623769722878933e-07,2.3065305617637934e-06
267,3.2385503232944756e-07,2.3048030491918325e-06
268,3.020012634806335e-08,2.304578204639256e-06
269,5.4580713796895e-07,2.306131210643798e-06
270,1.9496155736851505e-06,2.3041514167562126e-06
271,1.3589737564325333e-06,2.302754658740014e-06
272,1.9257644211757e-06,2.301115521695465e-06
273,1.7312215286074207e-06,2.3001001146622e-06
274,1.1071227246429772e-06,2.2997750202193858e-06
275,3.939018986420706e-07,2.3002868914045393e-06
276,1.847621048509609e-06,2.2988891624845566e-06
277,6.184527964796871e-07,2.300672174897045e-06
278,3.057865035953e-07,2.2997336857952177e-06
279,8.065041177906096e-07,2.2984092705883087e-06
280,1.2727705665747636e-06,2.299248843919486e-06
281,1.8066942156292498e-06,2.2975511173717677e-06
282,7.192582712741569e-07,2.297278824262321e-06
283,2.2776649208390154e-06,2.2987009421922264e-06
284,1.5329184627626092e-06,2.2957667289301753e-06
285,1.1646897863829508e-06,2.2942827944643797e-06
286,1.923034611681942e-06,2.292673122137785e-06
287,1.7679207836044952e-06,2.2917741211131215e-06
288,4.5499035622924565e-07,2.291702826041728e-06
289,1.1906700025429019e-06,2.2915976704098284e-06
290,7.129185437224806e-07,2.290638524573296e-06
291,9.155650518368929e-07,2.2949939989484847e-06
292,4.2732260364573447e-07,2.2945099440403284e-06
293,9.685721999267116e-07,2.292990677524358e-06
294,2.1433540724683554e-06,2.28976440615952e-06
295,1.1916752366232686e-06,2.2885352279990912e-06
296,2.3002610850380733e-06,2.2884809598326684e-06
297,1.2345201926655135e-06,2.2877208422869444e-06
298,1.7341097956523298e-06,2.288171802647412e-06
299,1.8262810094165615e-06,2.2881863079965113e-06
300,9.309264837065712e-07,2.285957003477961e-06
301,3.6660841200500727e-07,2.287182305008173e-06
302,7.542628271039575e-07,2.286608540453017e-06
303,1.904823000950273e-06,2.286963888909668e-06
304,2.4697852836106906e-06,2.2839695680886507e-06
305,1.4525889945798554e-06,2.283067286480218e-06
306,0.0,2.283067286480218e-06
307,2.3801026711589656e-06,2.281740764155984e-06
308,1.5180742321535944e-06,2.283405419439077e-06
309,1.8286162277217954e-06,2.283357116393745e-06
310,4.3829077621921894e-08,2.280963095836341e-06
311,2.338931297999807e-06,2.2784986114129426e-06
312,1.2470085761742667e-06,2.2791350819170474e-06
313,6.39138130354695e-07,2.279696750920266e-06
314,1.6337495888001285e-06,2.2781219985336064e-06
315,2.344319602998439e-06,2.278483423870057e-06
316,8.577213587705046e-07,2.2804790106602015e-06
317,1.3738023617770522e-06,2.2781892283819614e-06
318,2.131440520170145e-06,2.277863055933267e-06
319,1.269820976885967e-06,2.2777216043323277e-06
320,1.6551706753671169e-06,2.278932062909007e-06
321,1.211011328268796e-06,2.2756572091020643e-06
322,1.7809364732238465e-06,2.2755202185362578e-06
323,8.397514233365654e-08,2.2741571557708083e-06
324,1.4053113642148673e-06,2.27388761471957e-06
325,3.662180982064456e-07,2.2725811996497214e-06
326,3.0827443988528104e-07,2.272668033838272e-06
327,1.1308054439723491e-07,2.2748646792024374e-06
328,1.3116426873602904e-06,2.2708863113075493e-06
329,2.2721535345772282e-06,2.271058748010546e-06
330,2.2611635271459817e-07,2.271158378571272e-06
331,3.0975360015872864e-07,2.27100083604455e-06
332,4.2033975769300015e-07,2.2722813906148077e-06
333,1.682219299254939e-07,2.2694313270039858e-06
334,9.42159018595703e-07,2.2710263496264814e-06
335,1.41538975876756e-06,2.2709882725030183e-06
336,1.7079071936313995e-06,2.2695416514761744e-06
337,2.2352716512978077e-06,2.2700582607649265e-06
338,2.173401181935333e-06,2.268435200676322e-06
339,2.5225925125414507e-06,2.266490098554641e-06
340,2.3537790350383148e-06,2.265317083802074e-06
341,7.648724620230496e-07,2.2657390008680523e-06
342,2.3471235355827958e-07,2.2646598145365715e-06
343,1.5262052370235324e-06,2.2648112871684133e-06
344,1.1777967389207333e-06,2.2652925574220716e-06
345,0.0,2.2652925574220716e-06
346,1.767588637303561e-06,2.264214477036148e-06
347,2.0234557506046256e-06,2.264665300026536e-06
348,1.984286328952294e-06,2.2626868495717646e-06
349,1.6957737618940883e-06,2.2638678923249244e-06
350,6.63610999181401e-07,2.262779395096004e-06
351,5.91812051134184e-07,2.2623590100556614e-06
352,2.8106405341532084e-07,2.2620702185668053e-06
353,1.8674075370654464e-07,2.261963894125074e-06
354,2.0940342341782527e-06,2.2629124694503846e-06
355,7.489686080953106e-07,2.261082718614489e-06
356,1.1885021353373304e-06,2.260911101475358e-06
357,5.950927699450403e-07,2.2620769683271646e-06
358,2.4915386456996203e-07,2.2602712130174043e-06
359,8.440267638070509e-07,2.2600919171236456e-06
360,1.547366903105285e-06,2.2609709738753735e-06
361,1.6032825148431585e-06,2.262149907182902e-06
