,train_loss,val_loss
0,0.00029163099305568854,0.00010354545589769259
1,4.0730569966226103e-05,8.263282319530845e-05
2,1.1977672672020574e-05,8.031524882186205e-05
3,7.590708109249073e-05,7.078403289779089e-05
4,7.353427030909387e-05,6.726855954155326e-05
5,4.8159048014045e-05,6.59940019226633e-05
6,6.722419901037901e-05,6.478574253269471e-05
7,5.020635603240838e-05,6.395783826941624e-05
8,4.029734020196088e-06,6.419599703513085e-05
9,1.952141899187211e-05,6.365867284010165e-05
10,1.4543636564286729e-06,6.361334519810043e-05
11,6.287638561386979e-05,6.313517782429699e-05
12,2.9268158871953592e-05,6.271876771410461e-05
13,6.095406557663804e-05,6.231651473790407e-05
14,4.513668656357351e-05,6.223739373730496e-05
15,9.297539150333009e-06,6.199870973883663e-05
16,6.491344176856614e-05,6.207531818770804e-05
17,3.824479058227341e-05,6.15867235523183e-05
18,4.934298860234206e-05,6.129633476317395e-05
19,2.641756108957331e-05,6.138375524256844e-05
20,1.668828498965414e-05,6.135897721047513e-05
21,6.953897871987959e-05,6.107387834927067e-05
22,1.6086676285659338e-05,6.107716793194413e-05
23,3.112039724475749e-05,6.104986252787057e-05
24,5.387847803700552e-05,6.095486536214594e-05
25,3.1147743345799626e-05,6.093886644404847e-05
26,5.857271939500896e-05,6.0750507614575326e-05
27,6.583649439245281e-05,6.082419147947803e-05
28,5.334631280324662e-05,6.077996430336498e-05
29,2.9216419934746776e-05,6.103145733824931e-05
30,6.013342897325432e-05,6.119152209488675e-05
31,4.545864604957948e-05,6.281341069086921e-05
32,1.4576601516046937e-05,6.241133207746315e-05
33,1.3232243267462162e-05,6.232339424663223e-05
34,2.4423005957860165e-05,6.22903890220914e-05
35,6.356489762195846e-06,6.227963679295499e-05
36,3.057366700925839e-05,6.229563456028699e-05
37,1.8259199741582404e-05,6.226748038432561e-05
38,4.0421474476567795e-05,6.229079733544494e-05
39,4.7346557113709613e-05,6.230546254548245e-05
40,5.016947236877252e-05,6.235903319495265e-05
41,3.252542183753733e-05,6.237772305263207e-05
42,6.342063784858394e-06,6.23932396620512e-05
43,5.001725985658096e-06,6.238213170436211e-05
44,7.865097534488e-06,6.238431510631927e-05
45,1.864493405242173e-05,6.236750859359745e-05
46,1.1372832869375615e-05,6.238199565093965e-05
47,6.472365033986715e-05,6.245967487397138e-05
48,3.769442147457445e-05,6.24868551408872e-05
49,2.4711250885241528e-05,6.248180085851346e-05
50,6.22591715678631e-05,6.261277609330136e-05
51,2.919250807183956e-05,6.256758203729987e-05
52,3.452656420842303e-05,6.257375751039944e-05
53,3.073429015528103e-05,6.259757072199136e-05
54,3.942166573387269e-05,6.261684539553244e-05
55,4.854064001506288e-05,6.265903833613265e-05
56,6.40823448298296e-05,6.271622995845973e-05
57,4.452844439068562e-05,6.274588867265266e-05
58,4.261735709265043e-05,6.28029069188051e-05
59,1.6328557769658236e-05,6.280679632851388e-05
60,2.62067720389115e-05,6.281705966976005e-05
61,2.2248725065749073e-05,6.283098339452408e-05
62,5.275311505563212e-05,6.287233488052152e-05
63,5.683555764777534e-05,6.289250742178411e-05
64,1.1790878808459635e-05,6.291583691257984e-05
65,6.36565499051467e-05,6.29325336025795e-05
66,2.1581118804009347e-05,6.293721113353967e-05
67,6.315200709761763e-05,6.304625794058666e-05
68,6.263520591308766e-05,6.30542074504774e-05
69,9.926718510022121e-06,6.304070820857305e-05
70,4.010291776052655e-05,6.307306786067784e-05
71,3.768832605001855e-05,6.310595705232117e-05
72,4.294413345268365e-06,6.311286939540877e-05
73,1.888129736788753e-05,6.315330165671184e-05
74,2.373156920956555e-05,6.316053293878212e-05
75,2.5609994384187057e-05,6.31890389486216e-05
76,8.669247612401489e-06,6.321221604361199e-05
77,6.294204087891174e-05,6.325762741675135e-05
78,4.694656436614585e-05,6.328518249618356e-05
79,1.6992318322724502e-05,6.331348147941753e-05
80,1.060448910802939e-06,6.330569735786411e-05
81,3.417312805710085e-05,6.330071752599906e-05
82,5.895607365790713e-05,6.339296458871104e-05
83,3.1587707248159256e-05,6.343944445310626e-05
84,1.7915149467774343e-05,6.33949236018816e-05
85,4.45595606356243e-05,6.340530262037646e-05
86,2.8918330962909737e-05,6.345131687994581e-05
87,6.245153329894181e-05,6.348547338158823e-05
88,2.0200068823745788e-05,6.347634362115059e-05
89,5.691826645807739e-07,6.349551711056848e-05
90,3.8397546918866666e-05,6.345340194529854e-05
91,3.629033529359549e-05,6.348150412552058e-05
92,4.2241543402456514e-05,6.359027646656613e-05
93,2.700254372755803e-05,6.359965852694586e-05
94,3.155125950738545e-06,6.360664550506044e-05
95,1.0772435969957863e-05,6.359147600422148e-05
96,7.208569992446273e-05,6.369694574794267e-05
97,4.711033698675552e-05,6.370255962130613e-05
98,6.614653977672255e-05,6.37614586262498e-05
